"cartridge_id","cartridge_name","parent_cartridge_id","rim_type_id","cartridge_type_id","bullet_diameter","neck_diameter","shoulder_diameter","base_diameter","rim_diameter","rim_thickness","case_length","overall_length","case_capacity_gr_h2o","pressure_psi","length_to_shoulder","length_to_neck","ql_type_of_cartridge_spec","image_name","Unknown_1","Unknown_2","Unknown_3","Unknown_4","Unknown_5",,
1,"4.6 x 30 HK                             ",,1,1,0.183,0.209,0.305,0.316,0.315,0.043,1.201,1.516,14.4,58000,,,"Piezo CIP","46X30HK.jpg",0.55,16.52,400,,,,
2,"5.45 x 39 mm (.215 Russ.)               ",,1,1,0.22,0.248,0.364,0.394,0.394,0.059,1.568,2.244,27,55114,,,"Piezo CIP","545X39.jpg",0.6,23.99,380,,,,
3,"5.56 mm NATO - 5.56 x 45 mm             ",63,1,1,0.224,0.253,0.354,0.377,0.378,0.045,1.76,2.26,28.5,62366,,,"EPVAT NAAG-LG/3-SG/1","556x45.jpg",0.6,25.03,430,,,,
4,"5.7 x 28 FN                             ",,1,1,0.224,0.25,0.311,0.311,0.307,0.045,1.135,1.594,12.34,50040,,,"Piezo CIP","57X28.jpg",0.5,24.61,345,,,,
5,"6mm PPC",57,1,1,0.243,0.262,0.431,0.411,0.445,,1.515,2.1,33,,,,"Piezo CIP","6MMPPC.jpg",0.5,29.52,405,,,,
6,"6mm remington",32,1,1,0.2435,0.276,0.429,0.471,0.461,,2.233,2.825,54.4,,,,"Piezo CIP","6MMREM.jpg",0.5,29.52,430,,,,
7,"6mm AR",11,1,1,0.243,0.271,0.4323,0.4433,0.4449,0.059,1.525,2.26,36,,,,"Piezo","6MMAR.jpg",0.5,29.26,405,,,,
8,"6mm BR",112,1,1,0.243,0.27,0.458,0.473,0.471,0.054,1.56,2.44,37.8,52000,,,"Piezo CIP","6MMBRNor.jpg",0.5,29.52,405,,,,
9,"6x45",63,1,1,0.243,0.272,0.354,0.377,0.378,0.045,1.76,2.26,30.5,,,,"Piezo","6x45mm.jpg",0.5,29.29,380,,,,
10,"6.5 creedmoor",198,1,1,0.2644,0.295,0.462,0.4703,0.473,0.054,1.92,2.825,52.5,62000,,,"Piezo CIP","65creedmoor.jpg",0.5,34.66,435,,,,
11,"6.5 grendel",57,1,1,0.264,0.293,0.428,0.439,0.44,0.059,1.52,2.26,37.5,,,,"Piezo SAAMI","65mmGrendel.jpg",0.5,34.581,358.528,,,,
12,"6.5x50 Arisaka",,4,1,0.264,0.289,0.417,0.447,0.466,0.045,1.984,2.98,45,,,,"Piezo CIP","65X51RJP.jpg",0.5,33.69,295,,,,
13,"6.5x52 Carcano",,1,1,0.268,0.296,0.427,0.45,0.45,,2.07,3.01,48.7,,,,"Piezo CIP","65X52CAR.jpg",0.5,35.05,285,,,,
14,"6.5x47 Lapua",,1,1,0.264,0.292,0.454,0.47,0.473,0.054,1.9,2.74,48,63000,,,"Piezo CIP","65x47La.jpg",0.5,34.59,435,,,,
15,"6.5mm Remington Magnum",141,5,1,0.264,0.298,0.495,0.532,0.532,0.05,2.17,2.8,68,63000,,,"Piezo CIP","65MMREMM.jpg",0.5,34.74,435,,,,
16,"6.5-284 Norma",89,1,1,0.264,0.297,,0.501,0.473,0.04,2.17,3.228,68.33,,,,"Piezo CIP","65-284NO.jpg",0.5,34.62,410,,,,
17,"6.5-06 A-Square",95,1,1,0.264,0.296,0.4425,0.4698,0.473,0.034,2.494,3.44,68,60200,,,"Piezo SAAMI","6506asq.jpg",0.5,34.74,448.16,,,,
18,"6.5x53R Mannlicher",,2,1,0.262,0.297,0.423,0.452,0.53,0.049,2.1,3.02,49,,,,"CUP CIP","65X53RMS.jpg",0.5,35.19,280,,,,
19,"6.5x54 Mannlicher",18,1,1,0.264,0.295,0.428,0.452,0.454,,2.11,3,44.5,,,,"Piezo CIP","65X54MS.jpg",0.5,35.19,365,,,,
20,"6.5-300 Weatherby Magnum",104,5,1,0.264,,0.4949,0.512,0.5315,,2.825,3.6,98,,,,"Piezo",,0.5,34.52,448.16,,,34.52,448.16
21,"6.5x55",,1,1,0.264,0.299,0.435,0.48,0.48,0.059,2.165,3.15,57.9,55000,,,"Piezo CIP","65X55SWE.jpg",0.5,34.36,380,,,,
22,"7.92x57 Mauser",,1,1,0.324,0.357,0.431,0.47,0.47,0.051,2.244,3.288,63.1,56000,,,,,,,,,,,
23,"6.8 remington SPC",93,1,1,0.277,0.298,0.402,0.421,0.422,0.049,1.667,2.26,36,54000,,,"Piezo CIP","68REMSPC.jpg",0.5,38.52,405,,,,
24,"7mm-08 Remington",37,1,1,0.284,0.315,0.454,0.47,0.473,0.05,2.035,2.8,55,,,,"Piezo CIP","7MM-08Re.jpg",0.5,40.39,415,,,,
25,"7mm Remington Magnum",148,5,1,0.284,0.315,0.491,0.512,0.532,,2.5,3.29,82,62000,,,"Piezo SAAMI","7mREMMAG.jpg",0.5,40.39,420.581,,,,
26,"7mm Remington Short Action Ultra Magnum",,1,1,0.284,0.32,0.5347,0.5357,0.534,0.05,2.035,2.82,72.6,,,,"Piezo SAAMI","7REMSAUM.jpg",0.5,40.39,448.16,,,,
27,"7mm Remington Ultra Magnum",101,3,1,0.284,0.317,0.525,0.55,0.532,,2.85,3.6,108.1,,,,"Piezo CIP","7MMRUM.jpg",0.7,40.39,440,,,,
28,"7mm Weatherby Magnum",,5,1,0.284,0.312,0.49,0.511,0.53,0.048,2.55,3.36,87,65000,,,"Piezo CIP","7MMWEAMA.jpg",0.5,40.39,440,,,,
29,"7mm Winchester Short Magnum",166,3,1,0.284,0.321,0.538,0.555,0.535,,2.1,2.86,81.1,,,,"Piezo CIP","7MMWSM.jpg",0.5,40.322,440,,,,
30,"7mm STW",44,5,1,0.284,0.315,0.4868,0.5126,0.523,,2.85,3.6,97,,,,"Piezo CIP","7MMSTW.jpg",0.6,40.39,460,,,,
31,"7-30 Waters",96,3,1,0.284,0.306,,0.422,0.506,0.058,2.04,2.52,44,40000,,,"Piezo CIP","7-30WATE.jpg",0.5,40.26,345,,,,
32,"7x57 Mauser",22,1,1,0.285,0.325,0.43,0.473,0.476,0.045,2.244,3.071,60.2,56000,,,"Piezo SAAMI","7X57.jpg",0.5,40.064,351.633,,,,
33,"7.5x55 Swiss",,1,1,0.308,0.335,0.457,0.496,0.498,0.065,2.189,3.059,65.1,55000,,,"Piezo CIP","75X55G11.jpg",0.5,46.53,380,,,,
34,"7.62x25 Tokarev",39,1,1,0.311,0.334,0.373,0.387,0.392,0.052,0.984,1.386,16.8,,,,"Piezo CIP","762X25TO.jpg",0.75,47.25,240,,,,
35,"7.62 Nagant",,2,1,0.308,0.286,0.33,0.352,0.388,,1.53,1.53,24,,,,"Piezo CIP","762NAGAN.jpg",0.75,46.41,77,,,,
36,"7.62x39",,1,1,0.311,0.339,0.396,0.447,0.447,0.059,1.524,2.205,35.6,50000,,,"Piezo CIP","762X39.jpg",0.75,47.99,355,,,,
37,"308 Winchester",103,1,1,0.308,0.3433,0.4539,0.4709,0.4728,0.0539,2.015,2.8,56,62000,1.56,1.712,"Piezo SAAMI",,0.5,47.51,427.476,0,"¦¦¦¦0¦0",,
38,"7.62x54R",199,2,1,0.311,0.336,0.457,0.487,0.567,0.063,2.115,3.038,64.2,56000,,,"Piezo CIP","762X54R.jpg",0.5,47.99,390,,,,
39,"7.63x25 Mauser",200,1,1,0.309,0.333,0.378,0.388,0.393,,0.99,1.37,17.2,,,,"Piezo CIP","763MAUSE.jpg",0.75,47.47,260,,,,
40,".30 Luger",200,1,1,0.309,0.332,,0.391,0.393,0.048,0.85,1.175,14.4,34000,,,"Piezo CIP",,0.75,46.92,235,,,,
41,"7.7x58 Arisaka",,1,1,0.311,0.318,0.429,0.472,0.47,0.039,2.27,3.13,61,,,,"CUP CIP","77x58Japan.jpg",0.5,47.99,310,,,,
42,"7.92x33 Kurz",22,1,1,0.324,0.358,0.448,0.47,0.47,0.051,1.299,1.89,34.3,49000,,,"Piezo CIP","792X33ku.jpg",0.75,51.78,340,,,,
43,"8mm Lebel",,2,1,0.327,0.348,0.45,0.542,0.63,0.055,1.988,3.189,66.5,46000,,,"CUP","8LEBEL86.jpg",0.5,51.78,350,,,,
44,"8mm Remington Magnum",148,5,1,0.323,0.355,0.487,0.513,0.532,0.052,2.85,3.65,99,65000,,,"Piezo CIP","8MMREMMA.jpg",0.5,52.17,460,,,,
45,"8.58R Krag",,2,1,0.323,0.356,0.364,0.5049,0.759,0.063,2.283,3.228,70,,,,"Piezo","8x58RDanKrag.jpg",0.5,51.8,180,,,,
46,"9.3x64 Brenneke",,1,1,0.366,0.395,0.474,0.507,0.496,0.051,2.52,3.37,88.1,64000,,,"Piezo CIP","93X64Bre.jpg",0.5,66.32,440,,,,
47,"9x19 parabellum",201,1,3,0.355,0.38,,0.391,0.392,0.05,0.754,1.169,13.3,35000,,,"Piezo SAAMI","9MMLUGER.jpg",0.75,62.61,241.317,1,,,
